date,precipitation_sum_mm,wind_speed_max_kmh,port
2021-09-11,41.3,25.7,Sagar-Sandheads
2021-09-12,13.8,32.7,Sagar-Sandheads
2021-09-13,34.5,41.1,Sagar-Sandheads
2021-09-14,35.4,31.6,Sagar-Sandheads
2021-09-15,10.7,24.2,Sagar-Sandheads
2021-09-16,4.5,13.7,Sagar-Sandheads
2021-09-17,2.7,13.9,Sagar-Sandheads
2021-09-18,10.3,12.0,Sagar-Sandheads
2021-09-19,24.2,12.0,Sagar-Sandheads
2021-09-20,46.9,20.6,Sagar-Sandheads
2021-09-21,29.3,27.0,Sagar-Sandheads
2021-09-22,17.4,20.8,Sagar-Sandheads
2021-09-23,8.4,19.5,Sagar-Sandheads
2021-09-24,2.2,11.8,Sagar-Sandheads
2021-09-25,5.8,13.8,Sagar-Sandheads
2021-09-26,6.4,23.4,Sagar-Sandheads
2021-09-27,2.6,19.6,Sagar-Sandheads
2021-09-28,48.3,28.8,Sagar-Sandheads
2021-09-29,24.2,27.8,Sagar-Sandheads
2021-09-30,2.1,16.9,Sagar-Sandheads
2021-10-01,1.0,15.5,Sagar-Sandheads
2021-10-02,0.2,19.0,Sagar-Sandheads
2021-10-03,12.2,26.3,Sagar-Sandheads
2021-10-04,5.6,20.6,Sagar-Sandheads
2021-10-05,6.4,15.9,Sagar-Sandheads
2021-10-06,0.5,15.8,Sagar-Sandheads
2021-10-07,0.4,13.0,Sagar-Sandheads
2021-10-08,0.1,12.1,Sagar-Sandheads
2021-10-09,1.0,6.5,Sagar-Sandheads
2021-10-10,0.9,7.2,Sagar-Sandheads
2021-10-11,0.5,9.8,Sagar-Sandheads
2021-10-12,0.1,11.3,Sagar-Sandheads
2021-10-13,1.2,13.7,Sagar-Sandheads
2021-10-14,7.1,12.8,Sagar-Sandheads
2021-10-15,3.5,8.2,Sagar-Sandheads
2021-10-16,19.2,17.9,Sagar-Sandheads
2021-10-17,34.2,25.0,Sagar-Sandheads
2021-10-18,76.6,26.6,Sagar-Sandheads
2021-10-19,53.5,22.6,Sagar-Sandheads
2021-10-20,8.1,23.4,Sagar-Sandheads
2021-10-21,0.1,11.2,Sagar-Sandheads
2021-10-22,1.4,12.7,Sagar-Sandheads
2021-10-23,0.0,8.6,Sagar-Sandheads
2021-10-24,0.7,9.3,Sagar-Sandheads
2021-10-25,0.5,8.4,Sagar-Sandheads
2021-10-26,0.3,12.8,Sagar-Sandheads
2021-10-27,4.2,16.8,Sagar-Sandheads
2021-10-28,2.7,19.6,Sagar-Sandheads
2021-10-29,4.6,12.2,Sagar-Sandheads
2021-10-30,0.0,17.2,Sagar-Sandheads
2021-10-31,0.0,13.9,Sagar-Sandheads
2021-11-01,0.0,11.3,Sagar-Sandheads
2021-11-02,0.0,15.0,Sagar-Sandheads
2021-11-03,0.0,15.0,Sagar-Sandheads
2021-11-04,0.0,10.4,Sagar-Sandheads
2021-11-05,0.0,14.0,Sagar-Sandheads
2021-11-06,0.0,13.0,Sagar-Sandheads
2021-11-07,0.0,17.0,Sagar-Sandheads
2021-11-08,0.0,14.9,Sagar-Sandheads
2021-11-09,0.0,14.5,Sagar-Sandheads
2021-11-10,0.0,9.8,Sagar-Sandheads
2021-11-11,0.0,12.8,Sagar-Sandheads
2021-11-12,0.0,11.2,Sagar-Sandheads
2021-11-13,2.1,10.7,Sagar-Sandheads
2021-11-14,2.8,12.8,Sagar-Sandheads
2021-11-15,28.1,14.1,Sagar-Sandheads
2021-11-16,10.6,17.1,Sagar-Sandheads
2021-11-17,0.0,16.4,Sagar-Sandheads
2021-11-18,0.0,13.0,Sagar-Sandheads
2021-11-19,0.0,11.6,Sagar-Sandheads
2021-11-20,0.0,11.5,Sagar-Sandheads
2021-11-21,0.0,8.0,Sagar-Sandheads
2021-11-22,0.0,8.5,Sagar-Sandheads
2021-11-23,1.4,7.9,Sagar-Sandheads
2021-11-24,0.1,13.1,Sagar-Sandheads
2021-11-25,0.0,10.8,Sagar-Sandheads
2021-11-26,0.1,11.8,Sagar-Sandheads
2021-11-27,0.0,14.4,Sagar-Sandheads
2021-11-28,0.0,13.0,Sagar-Sandheads
2021-11-29,0.0,14.4,Sagar-Sandheads
2021-11-30,0.0,15.9,Sagar-Sandheads
2021-12-01,0.0,14.8,Sagar-Sandheads
2021-12-02,0.0,13.7,Sagar-Sandheads
2021-12-03,0.0,11.6,Sagar-Sandheads
2021-12-04,39.9,22.2,Sagar-Sandheads
2021-12-05,48.6,21.4,Sagar-Sandheads
2021-12-06,20.1,30.5,Sagar-Sandheads
2021-12-07,0.0,20.2,Sagar-Sandheads
2021-12-08,0.0,13.4,Sagar-Sandheads
2021-12-09,5.0,14.6,Sagar-Sandheads
2021-12-10,0.0,10.5,Sagar-Sandheads
2021-12-11,0.0,13.3,Sagar-Sandheads
2021-12-12,0.0,17.1,Sagar-Sandheads
2021-12-13,0.0,12.2,Sagar-Sandheads
2021-12-14,0.0,14.0,Sagar-Sandheads
2021-12-15,0.0,10.8,Sagar-Sandheads
2021-12-16,0.0,14.1,Sagar-Sandheads
2021-12-17,0.0,11.2,Sagar-Sandheads
2021-12-18,0.0,15.5,Sagar-Sandheads
2021-12-19,0.0,20.2,Sagar-Sandheads
2021-12-20,0.0,18.8,Sagar-Sandheads
2021-12-21,0.0,12.4,Sagar-Sandheads
2021-12-22,0.0,13.8,Sagar-Sandheads
2021-12-23,0.0,10.1,Sagar-Sandheads
2021-12-24,0.0,10.4,Sagar-Sandheads
2021-12-25,0.0,8.8,Sagar-Sandheads
2021-12-26,0.0,12.0,Sagar-Sandheads
2021-12-27,0.2,11.3,Sagar-Sandheads
2021-12-28,0.0,11.3,Sagar-Sandheads
2021-12-29,0.0,14.3,Sagar-Sandheads
2021-12-30,0.0,18.3,Sagar-Sandheads
2021-12-31,0.0,21.8,Sagar-Sandheads
2022-01-01,0.0,19.3,Sagar-Sandheads
2022-01-02,0.0,16.6,Sagar-Sandheads
2022-01-03,0.0,16.0,Sagar-Sandheads
2022-01-04,0.0,15.5,Sagar-Sandheads
2022-01-05,0.0,12.7,Sagar-Sandheads
2022-01-06,0.0,9.8,Sagar-Sandheads
2022-01-07,0.0,11.2,Sagar-Sandheads
2022-01-08,0.0,9.6,Sagar-Sandheads
2022-01-09,0.0,11.0,Sagar-Sandheads
